ID,#YY,MM,DD,hh,mm,WDIR(degT),WSPD(m/s),GST(m/s),DPD(sec),APD(sec),MWD(degT),PRES(hPa),ATMP(degC),WTMP(degC),DEWP(degC),WVHT(m)
20174261950,2017,4,26,19,50,197,3.5,4,3.7,3.19,147,998.6,9.4,5.4,8.3,0.34
20174262050,2017,4,26,20,50,237,4.5,4.8,3.7,3.17,147,998.2,10.7,5.5,9,0.33
20174262150,2017,4,26,21,50,170,4.2,4.8,3.57,3.33,147,998.7,9.8,5.5,8.3,0.31
20174262250,2017,4,26,22,50,163,4,4.4,3.45,3.07,150,998.8,9.7,5.6,8,0.25
2017427350,2017,4,27,3,50,183,2.6,3.1,3.7,3.28,162,998.4,8.7,5.6,8.6,0.26
20174271050,2017,4,27,10,50,109,6.5,7.7,2.6,2.59,128,992.4,8.5,5.4,8.5,0.29
20174271150,2017,4,27,11,50,157,9.3,10.8,2.86,2.81,124,992.2,9.5,5.3,9.5,0.46
20174271250,2017,4,27,12,50,130,9.6,11.7,3.7,3.38,128,992.1,9.1,5.3,8.7,0.61
20174271350,2017,4,27,13,50,244,11.6,14.5,4,3.82,133,993.4,8.1,5.3,8.1,1.02
20174271450,2017,4,27,14,50,256,9,10.9,4.35,3.84,167,996.8,6.7,5.2,5.9,1.15
20174271550,2017,4,27,15,50,258,9.4,11.2,5,3.91,151,998.6,6.7,5.2,5.1,1.12
20174271650,2017,4,27,16,50,260,8.3,9.9,4.35,4.14,187,999.9,6.4,5.2,4.6,1.28
20174271750,2017,4,27,17,50,266,7.1,8.3,4.55,4.38,203,1001.2,6.2,5.1,4.3,1.39
20174271850,2017,4,27,18,50,274,8.4,9.8,5.26,4.57,208,1002.2,6.1,5.2,3.6,1.47
20174271950,2017,4,27,19,50,257,6.1,7.8,5.26,4.33,216,1003.8,5.9,5.1,3.9,1.21
20174272050,2017,4,27,20,50,238,6.6,7.7,4.55,4.05,220,1004.7,5.9,5.1,4.3,1.06
20174272150,2017,4,27,21,50,250,6.8,7.9,4.76,3.9,205,1005.4,6,5.1,4.2,0.97
20174272250,2017,4,27,22,50,253,6.4,7.8,4.76,3.95,212,1006,5.9,5.1,4.1,0.94
20174272350,2017,4,27,23,50,250,7.3,8.8,4.55,3.85,202,1006.5,5.9,5.1,3.7,0.9
2017428050,2017,4,28,0,50,265,6.8,8.8,4.55,3.77,203,1007.2,5.8,5.1,3.7,0.84
2017428150,2017,4,28,1,50,270,8.4,10.1,4.76,3.75,205,1008.5,6,5.1,3.2,0.8
2017428250,2017,4,28,2,50,271,7,8.3,4.76,3.99,214,1009.2,5.9,5,2.9,1.03
2017428350,2017,4,28,3,50,263,8.8,10.6,4.76,3.78,208,1009.8,6.1,5,2.4,0.9
2017428450,2017,4,28,4,50,262,8.2,9.3,4.55,3.9,207,1010.6,6,5,3,0.93
2017428550,2017,4,28,5,50,246,7.3,9,4.35,3.84,203,1011.3,6,5,3.4,0.91
2017428650,2017,4,28,6,50,255,6.3,7.8,4,3.69,216,1011.4,6,5,3.4,0.86
2017428750,2017,4,28,7,50,251,5.5,6.5,4.17,3.58,211,1011.6,5.8,5,3.9,0.76
2017428850,2017,4,28,8,50,252,5.3,6.1,3.85,3.5,226,1012.2,5.7,5,3.8,0.64
2017428950,2017,4,28,9,50,280,2.8,3.4,4.17,3.46,210,1012.3,5.5,5,4.1,0.58
20174281050,2017,4,28,10,50,293,2.7,3.2,4,3.4,257,1012.8,5.3,5,2.9,0.5
20174281150,2017,4,28,11,50,307,2.8,3.1,3.85,3.43,266,1013.5,5.2,5,1.7,0.46
20174281250,2017,4,28,12,50,249,2.9,3.5,3.7,3.38,257,1014.8,5.2,5.1,1.3,0.44
20174281350,2017,4,28,13,50,254,3,3.4,3.57,3.18,252,1015.1,5.4,5.1,1.5,0.36
20174281450,2017,4,28,14,50,265,1.6,2,3.23,3.05,225,1014.9,5.5,5.2,2.4,0.3
2017429350,2017,4,29,3,50,16,8.2,10.3,2.6,2.68,36,1016.3,6,5.2,3.8,0.36
2017429450,2017,4,29,4,50,21,7.5,9,3.33,3.13,41,1017.2,5.8,5.2,4.3,0.6
2017429550,2017,4,29,5,50,24,7,8,3.57,3.31,29,1017.2,5.9,5.2,4.6,0.6
2017429650,2017,4,29,6,50,26,6.7,7.9,4,3.43,30,1016.7,5.9,5.2,4.6,0.67
2017429750,2017,4,29,7,50,30,3.9,4.8,4,3.34,23,1019.3,6,5.2,4.5,0.55
2017429850,2017,4,29,8,50,16,8,9.7,3.85,3.25,30,1018.6,5.3,5.2,4.5,0.53
2017429950,2017,4,29,9,50,16,8,9.6,4,3.34,26,1019.7,5.5,5.2,4.1,0.67
20174291050,2017,4,29,10,50,15,8.2,9.8,4.17,3.66,24,1020.2,5.6,5.1,3.9,0.86
20174291150,2017,4,29,11,50,14,9.5,11.3,4.55,3.75,24,1021.4,5.6,5.1,2.9,0.97
20174291250,2017,4,29,12,50,15,9.5,11.3,4.76,3.98,23,1022.1,4.8,5.1,2.9,1.07
20174291350,2017,4,29,13,50,11,9.9,11.4,4.76,3.98,17,1022.9,4.7,5,2.8,1.02
20174291450,2017,4,29,14,50,17,10.3,12.1,4.76,4.29,21,1021.7,4.8,5,2.6,1.24
20174291550,2017,4,29,15,50,14,10.3,12.4,5.56,4.32,19,1022.3,4.6,5,2.1,1.33
20174291650,2017,4,29,16,50,15,10.3,12.3,5.88,4.67,10,1023.2,4.3,5,1.1,1.5
20174291750,2017,4,29,17,50,12,10.4,11.9,5.88,4.68,13,1023.7,4.3,4.9,1.5,1.59
20174291850,2017,4,29,18,50,11,10,11.9,6.25,4.87,18,1023.4,4.2,4.9,1.9,1.65
20174291950,2017,4,29,19,50,13,11.3,13.2,6.25,5.03,19,1021.6,4.1,4.9,2.2,1.86
20174292050,2017,4,29,20,50,13,11.1,13.4,6.25,5.07,17,1021,4.2,4.9,2.6,1.9
20174292150,2017,4,29,21,50,16,8.6,11.1,6.67,5.08,19,1021.8,4.4,4.9,3.2,1.89
20174292250,2017,4,29,22,50,11,8,9.3,7.14,5.43,17,1022.4,4.5,4.9,3.6,1.99
20174292350,2017,4,29,23,50,17,9.4,11.3,7.14,5.28,19,1021.8,4.5,4.9,4.1,1.77
2017430050,2017,4,30,0,50,30,7.6,8.9,7.14,5,12,1022.2,4.9,4.9,4.6,1.61
2017430150,2017,4,30,1,50,43,8.9,10.5,7.14,4.92,5,1020.5,5.7,4.8,5.4,1.48
2017430250,2017,4,30,2,50,50,12.7,16,7.14,4.88,5,1017.6,6.5,4.8,4.8,1.47
2017430350,2017,4,30,3,50,50,12.9,15.8,6.25,4.43,360,1015.9,5.8,4.8,5.3,1.57
2017430450,2017,4,30,4,50,54,8.8,10.4,4.76,4.48,54,1018.1,5.4,4.8,5.4,1.59
2017430550,2017,4,30,5,50,58,12.5,15.7,5.56,4.66,61,1016,5.3,4.8,5,1.8
2017430650,2017,4,30,6,50,38,9,10.6,5.56,4.81,70,1016.3,5.1,4.8,4.4,1.92
2017430750,2017,4,30,7,50,40,8.5,10,5.88,4.74,49,1016,4.9,4.7,4.2,1.69
2017430850,2017,4,30,8,50,42,9.1,10.5,5.56,4.57,47,1015.7,4.6,4.7,4.6,1.44
2017430950,2017,4,30,9,50,45,8.9,10.9,5.26,4.43,42,1015.2,4.7,4.7,4.7,1.38
20174301050,2017,4,30,10,50,40,8.7,10,5.26,4.1,43,1015.1,4.9,4.7,4.7,1.19
20174301150,2017,4,30,11,50,49,8.2,9.8,5,4.14,47,1014.9,4.9,4.7,4.7,1.19
20174301250,2017,4,30,12,50,57,8.4,9.8,4.55,4.01,48,1013.9,5.1,4.7,5,1.09
20174301350,2017,4,30,13,50,54,8.7,10.3,4.76,3.91,45,1011.9,5.1,4.7,5,1.07
20174301450,2017,4,30,14,50,58,10.3,12.3,4.76,3.99,40,1010,5.3,4.7,5.1,1.12
20174301550,2017,4,30,15,50,56,9.5,11.8,5,4.3,58,1009.9,5.5,4.7,5.3,1.38
20174301650,2017,4,30,16,50,45,5.6,6.7,5.26,4.61,59,1011.5,5.5,4.7,5.5,1.43
20174301750,2017,4,30,17,50,357,5.8,6.9,5.56,4.73,83,1011.9,5.2,4.8,5.2,1.43
20174301850,2017,4,30,18,50,17,8.7,9.8,5.56,4.54,55,1010.4,5,4.8,5,1.27
20174301950,2017,4,30,19,50,25,8.5,10.2,5.26,4.39,62,1010.6,5.1,4.8,5.1,1.33
20174302050,2017,4,30,20,50,32,7.9,9.2,5,4.3,56,1009.8,5.2,4.8,5.2,1.28
20174302150,2017,4,30,21,50,26,7.2,8.8,5.88,4.26,1,1008.8,5.2,4.8,5.2,1.16
20174302250,2017,4,30,22,50,46,6.9,8,5.56,4.13,355,1008.6,5.4,4.8,5.4,1.04
20174302350,2017,4,30,23,50,49,6.2,7.2,5.88,4.06,355,1008.1,5.6,4.8,5.6,0.96
201751050,2017,5,1,0,50,48,7.7,8.8,5.56,4.04,360,1006.8,5.6,4.8,5.6,0.93
201751150,2017,5,1,1,50,53,7.8,9.1,3.85,4.02,40,1006.5,5.6,4.8,5.6,0.98
201751250,2017,5,1,2,50,47,8.5,10.9,4.35,3.85,33,1005.1,5.5,4.8,5.5,0.98
201751350,2017,5,1,3,50,51,10.1,12,4.35,3.98,36,1002.9,5.6,4.9,5.6,1.13
201751450,2017,5,1,4,50,58,10.9,13,4.55,4.22,50,1000.6,5.8,4.8,5.8,1.28
201751550,2017,5,1,5,50,64,10.2,12.8,4.55,4.28,52,999.9,6,4.8,6,1.34
201751650,2017,5,1,6,50,75,5.2,6.9,5,4.42,42,1000,7,4.9,7,1.31
201751750,2017,5,1,7,50,91,5.9,7,5.26,4.54,43,999.1,6.9,4.9,6.9,1.31
201751850,2017,5,1,8,50,99,4.5,5.4,5,4.5,41,997.8,8.5,4.9,8.5,1.12
201751950,2017,5,1,9,50,92,6.1,7,5.26,4.56,21,997,7.9,4.9,7.9,1.07
2017511050,2017,5,1,10,50,97,7.1,8.6,5,4.35,19,996.4,7.6,4.9,7.6,1.03
2017511150,2017,5,1,11,50,154,7.8,9.3,6.25,4.37,322,996.2,8.6,4.9,8.1,0.96
2017511350,2017,5,1,13,50,220,5.6,6.3,6.25,3.91,326,997.4,7.1,4.9,6,0.85
2017511450,2017,5,1,14,50,187,5,5.7,3.45,3.9,141,997.2,6.8,4.9,5.5,0.79
2017511550,2017,5,1,15,50,170,5,5.9,6.25,3.94,328,997.4,6.5,4.9,5.3,0.7
2017511650,2017,5,1,16,50,169,5.1,5.8,5.88,4,316,996.9,7.3,4.9,5.3,0.68
2017511750,2017,5,1,17,50,143,5.5,6.2,3.85,3.85,150,996.2,7.1,5,5.3,0.62
2017511850,2017,5,1,18,50,152,6.6,7.3,5.56,3.82,324,995.7,7.4,5,5.6,0.62
2017511950,2017,5,1,19,50,217,7.8,9.2,5.88,3.76,325,995.9,7.6,4.9,5.2,0.61
2017512050,2017,5,1,20,50,222,7,8.1,3.85,3.57,161,995.9,7.3,5,5.7,0.61
2017512150,2017,5,1,21,50,209,8.5,10.1,3.85,3.48,162,996.1,7.2,5,5.2,0.72
2017512250,2017,5,1,22,50,200,8.7,9.8,4,3.7,166,996.4,7,4.9,5.6,0.86
2017512350,2017,5,1,23,50,203,7.4,9,4.17,3.83,175,996.7,6.9,4.9,5.9,0.92
201752050,2017,5,2,0,50,196,9.1,10.7,4.55,3.91,164,996.6,7,4.9,6.6,1.02
201752150,2017,5,2,1,50,220,7.8,9,5.26,4.14,154,997.1,6.4,4.9,6.4,1.14
201752250,2017,5,2,2,50,251,7.5,8.9,5.26,4.23,170,997.7,6.7,4.9,5.4,1.11
201752350,2017,5,2,3,50,235,7.9,8.8,5,4,169,997.4,6.6,4.9,5,1.03
201752450,2017,5,2,4,50,257,8.9,10.9,5.26,4.13,171,997.4,6.6,4.9,4.6,1.06
201752550,2017,5,2,5,50,243,7.2,9,5.26,4.2,166,997.4,6,4.8,4.5,1.03
201752650,2017,5,2,6,50,243,8.9,10.4,5.56,4.16,171,997,5.9,4.8,4.2,1.06
201752750,2017,5,2,7,50,272,10.4,13.1,4.76,4.06,190,996.9,5.7,4.8,3.7,1.14
201752850,2017,5,2,8,50,283,10.1,12.4,4.76,4.28,223,997.5,5.2,4.8,2.8,1.31
201752950,2017,5,2,9,50,288,10.1,12.6,5,4.28,227,998.2,5.2,4.7,2.3,1.31
2017521050,2017,5,2,10,50,290,10.3,12.5,5.26,4.4,220,998.8,5.3,4.7,2.7,1.39
2017521150,2017,5,2,11,50,284,9.3,11.5,5.26,4.32,231,999.4,5.2,4.7,3.1,1.4
2017521250,2017,5,2,12,50,291,10.2,11.8,5,4.24,246,1000.3,5.3,4.7,2.9,1.27
2017521350,2017,5,2,13,50,299,9.7,12.3,5,4.24,262,1001.3,5.2,4.7,2.5,1.41
2017521450,2017,5,2,14,50,298,8.8,10.6,4.55,4.36,282,1002.3,5.4,4.7,2.4,1.47
2017521550,2017,5,2,15,50,298,8.2,9.7,5,4.41,278,1003.7,5.4,4.7,2.9,1.45
2017521650,2017,5,2,16,50,299,5.5,7,5,4.39,293,1005.1,5.5,4.7,3.2,1.35
2017521750,2017,5,2,17,50,319,6.4,7.5,4.76,4.06,286,1006,5.6,4.7,3,1
2017521850,2017,5,2,18,50,302,4.3,5,4.76,4.08,305,1007.4,5.6,4.7,3.4,0.98
2017521950,2017,5,2,19,50,312,5.5,6.4,4.76,4.02,316,1008.6,6.1,4.7,3.1,0.91
2017522050,2017,5,2,20,50,311,4.9,5.7,4.35,3.92,306,1009.4,6,4.7,3.3,0.78
2017522150,2017,5,2,21,50,321,5.1,5.9,4.55,3.85,327,1010.4,6.2,4.7,3.1,0.79
2017522250,2017,5,2,22,50,301,3.8,4.4,4.55,3.67,340,1011.8,5.8,4.7,3.8,0.65
2017522350,2017,5,2,23,50,315,4.3,4.8,4.17,3.7,330,1012.6,5.8,4.7,3.9,0.65
201753050,2017,5,3,0,50,12,3.7,4.1,4,3.42,332,1014.1,4.9,4.6,4.1,0.55
201753150,2017,5,3,1,50,359,1.1,1.4,4.35,3.3,353,1015.3,4.9,4.6,3.9,0.47
201753250,2017,5,3,2,50,305,0.5,0.7,3.7,3.38,343,1016.3,4.9,4.6,4.1,0.4
201753350,2017,5,3,3,50,276,1.6,1.9,4,3.43,351,1017,4.9,4.6,4.6,0.42
201753450,2017,5,3,4,50,274,1.4,1.9,4.35,3.5,354,1017.6,4.9,4.6,4.6,0.37
201753550,2017,5,3,5,50,221,0.2,0.4,3.85,3.64,349,1018.3,4.7,4.6,4.5,0.42
201753650,2017,5,3,6,50,288,1.3,1.6,4.76,3.73,26,1018.9,4.9,4.6,4,0.4
201753750,2017,5,3,7,50,307,1.5,1.7,4.55,3.86,11,1018.9,4.8,4.6,3.6,0.39
201753850,2017,5,3,8,50,257,2.3,2.7,5.88,4.15,9,1019.7,4.9,4.6,3.8,0.39
201753950,2017,5,3,9,50,254,1.6,1.8,5.56,4.36,351,1019.5,5,4.6,3.8,0.43
2017531050,2017,5,3,10,50,246,2.8,3.3,5.88,4.67,339,1020.4,4.9,4.6,3.9,0.45
2017531150,2017,5,3,11,50,275,1.6,1.9,5.88,4.52,7,1021.2,5.4,4.6,3.6,0.4
2017531250,2017,5,3,12,50,246,2.1,2.3,5.88,4.64,352,1022.3,5.3,4.6,3.7,0.39
2017531350,2017,5,3,13,50,254,2,2.2,5.88,4.58,4,1023.2,5.5,4.7,3.8,0.37
2017531450,2017,5,3,14,50,290,1.4,1.6,5.26,4.56,15,1023.5,5.5,4.9,4.1,0.37
2017531550,2017,5,3,15,50,256,1,1.2,5.26,4.5,357,1023.3,5.7,5.4,4.2,0.33
2017531650,2017,5,3,16,50,263,0.1,0.5,5,4.35,330,1023.2,6.3,5.9,4,0.33
2017531750,2017,5,3,17,50,11,0.7,1,5.56,4.46,32,1022.8,6.7,6.5,3.5,0.3
2017531850,2017,5,3,18,50,176,0,0.2,5.56,4.31,355,1022.5,8.1,7.3,3.4,0.26
2017541950,2017,5,4,19,50,60,3.7,4.1,4,3.59,138,1014.5,6.9,5.3,3.9,0.25
2017542050,2017,5,4,20,50,355,2.6,2.8,3.85,3.42,143,1014.4,6.1,5.3,5,0.26
2017542250,2017,5,4,22,50,21,2.7,2.9,3.45,3.28,126,1014.2,6.9,5.3,3.3,0.26
201755850,2017,5,5,8,50,3,7.3,8.4,2.74,2.95,33,1011.1,5.4,5,4.7,0.48
201755950,2017,5,5,9,50,9,7.5,9.1,3.23,3.2,19,1011.2,5.1,4.9,4.8,0.63
2017551050,2017,5,5,10,50,12,9.8,12,3.85,3.51,1,1010.4,4.8,4.9,4.6,0.87
2017551150,2017,5,5,11,50,12,10.3,12,5,4.02,357,1010.6,5,4.9,4.2,1.17
2017551250,2017,5,5,12,50,7,11.4,13.6,5.26,4.29,6,1010.5,4,4.8,4,1.41
2017551350,2017,5,5,13,50,11,11.5,14.1,5.88,4.78,21,1010.3,3.9,4.8,3.9,1.8
2017551450,2017,5,5,14,50,10,10.2,12.3,6.25,4.9,13,1010.5,4,4.8,4,1.84
2017551550,2017,5,5,15,50,5,11.6,14.3,6.67,4.9,23,1010.1,3.9,4.8,3.9,1.77
2017551650,2017,5,5,16,50,1,11.8,14.4,6.25,5.21,26,1009.9,3.9,4.8,3.8,2.14
2017551750,2017,5,5,17,50,5,11.4,13.5,6.67,5.3,23,1010.2,3.9,4.8,3.6,2.03
2017551850,2017,5,5,18,50,1,13,15.2,7.14,5.5,19,1009.3,3.9,4.8,3.6,2.37
2017551950,2017,5,5,19,50,1,12.4,15,6.67,5.43,31,1008.9,4.3,4.8,3.6,2.35
2017552050,2017,5,5,20,50,1,11.7,13.9,7.14,5.73,25,1008.4,5,4.8,3.7,2.63
2017552150,2017,5,5,21,50,1,10.2,11.8,7.69,5.71,26,1008.7,5.4,4.8,3.7,2.4
2017552250,2017,5,5,22,50,4,8.7,10.4,7.69,5.61,27,1008.7,5.5,4.8,3.8,2.18
2017552350,2017,5,5,23,50,1,8,9.1,6.67,5.22,32,1008.5,5.7,4.8,3.6,1.82
201756050,2017,5,6,0,50,7,7.2,8.4,6.67,5.12,27,1009,5.9,4.8,3.6,1.6
201756150,2017,5,6,1,50,354,6.2,7.4,7.14,5.11,37,1008.7,5.5,4.8,3.9,1.43
201756250,2017,5,6,2,50,356,7.2,8.3,6.67,4.8,36,1008.5,5.9,4.8,3.6,1.26
201756350,2017,5,6,3,50,3,6.4,7.4,5.88,4.47,35,1007.9,6.4,4.8,3.3,1.08
201756450,2017,5,6,4,50,3,5.7,6.7,5.88,4.43,31,1007.4,6.1,4.8,3.7,1.04
201756550,2017,5,6,5,50,341,7.4,9,5.56,4.23,30,1007.3,6,4.8,3.9,0.85
201756650,2017,5,6,6,50,344,7.5,8.5,5.88,3.99,35,1006.7,5.6,4.8,3.9,0.82
201756750,2017,5,6,7,50,355,6.9,8,5.56,3.91,33,1006.9,5.7,4.8,3.6,0.83
201756850,2017,5,6,8,50,4,6.8,8.4,5.26,3.78,35,1006.9,5.4,4.8,3.2,0.83
201756950,2017,5,6,9,50,9,9.1,10.8,4.35,3.8,26,1007.1,5.2,4.8,3.1,0.85
2017561050,2017,5,6,10,50,5,8.5,10.1,4.76,3.94,38,1007.5,4.8,4.8,3.2,1.1
2017561150,2017,5,6,11,50,8,9.2,11.1,5,4.16,23,1008.1,4.5,4.8,3.4,1.22
2017561250,2017,5,6,12,50,3,9.4,11.3,5.56,4.3,29,1008.5,4.2,4.8,3.1,1.37
2017561350,2017,5,6,13,50,4,9.1,11.1,5.26,4.34,27,1009.1,4.4,4.8,3.3,1.32
2017561450,2017,5,6,14,50,1,9.2,11.5,5.56,4.46,30,1009.8,4.7,4.8,3.3,1.5
2017561550,2017,5,6,15,50,360,9.9,11.5,5.88,4.45,31,1009.9,4.8,4.8,3.1,1.43
2017561650,2017,5,6,16,50,355,9.2,11.2,5.88,4.56,32,1010.2,4.9,4.8,3.1,1.54
2017561750,2017,5,6,17,50,353,9.8,12.3,5.88,4.6,34,1010.1,5.6,4.8,2.9,1.58
2017561850,2017,5,6,18,50,352,10,11.6,5.88,4.68,32,1010.4,5.8,4.9,2.5,1.53
2017561950,2017,5,6,19,50,2,9.4,10.9,6.25,4.63,33,1010.4,6.3,4.9,0.9,1.49
2017562050,2017,5,6,20,50,359,8.1,9.5,5.88,4.7,38,1010.7,6.2,4.9,1.5,1.54
2017562150,2017,5,6,21,50,9,8.1,9.4,6.25,4.56,37,1010.6,6.3,4.8,0.7,1.37
2017562250,2017,5,6,22,50,10,8.1,9.6,5.88,4.36,37,1010.6,6.5,4.9,-0.4,1.23
2017562350,2017,5,6,23,50,9,6.7,8.3,5.56,4.52,36,1010.8,6.4,4.8,0.2,1.28
201757050,2017,5,7,0,50,10,6.7,7.9,6.25,4.66,32,1011.4,6.3,4.8,0.5,1.21
201757150,2017,5,7,1,50,17,8.7,10.5,6.25,4.54,36,1011.7,6.1,4.8,0.8,1.26
201757250,2017,5,7,2,50,18,10.4,12.3,6.25,4.59,35,1012.2,5.9,4.8,0.5,1.43
201757350,2017,5,7,3,50,17,9.1,11.2,5.88,4.58,38,1012.9,5.8,4.8,0.1,1.57
201757450,2017,5,7,4,50,9,6.9,7.9,6.67,4.71,34,1013.3,5.8,4.8,0.1,1.41
201757550,2017,5,7,5,50,7,7.6,9,6.67,4.88,29,1013.6,5.8,4.8,-0.6,1.45
201757650,2017,5,7,6,50,357,7.2,8.4,6.67,4.9,35,1013.6,5.8,4.7,-1,1.43
201757750,2017,5,7,7,50,352,6.9,8,7.14,5.06,34,1013.6,5.7,4.7,-0.3,1.57
201757850,2017,5,7,8,50,343,6.5,7.6,7.14,5.08,29,1013.7,5.5,4.7,0.2,1.35
201757950,2017,5,7,9,50,339,7.5,9,6.25,4.87,41,1014.3,5.4,4.7,0.6,1.36
2017571050,2017,5,7,10,50,346,7.1,8.3,6.67,4.47,27,1014.9,5.4,4.7,0.4,1.1
2017571150,2017,5,7,11,50,345,7.2,8.7,6.25,4.32,26,1016,5.3,4.7,0.3,1.08
2017571250,2017,5,7,12,50,348,6.9,8.5,6.25,4.21,28,1016.8,5.2,4.7,0.4,1.02
2017571350,2017,5,7,13,50,351,6.6,7.8,5.88,4.36,28,1017.1,5,4.8,0.5,1.05
2017571450,2017,5,7,14,50,351,7.4,8.8,6.25,4.06,30,1017.2,4.9,4.8,0,0.94
